Total (Grains/m^3)|Comments|Date
20.2|Predominant Types- (Trees) Pine, Walnut, Hickory|05/24/2013
27.6|Predominant type - trees -pine|05/28/2013
26.0|Predominant Pollen- (Trees) Pine|05/29/2013
20.2|Predominant type - trees -pine|05/30/2013
9.9|Predominant Pollens- Pine and weed species|05/31/2013
15.4|Predominant type -trees and grass species|06/03/2013
8.0|Predominant type - trees -pine|06/04/2013
27.6|Predominant Pollen- Pine and grass species|06/05/2013
25.3|Predominant type - trees - pine, grass species|06/06/2013
4.2|Predominant Type- (Trees) Pine|06/07/2013
9.3|Predominant type - trees and grass species|06/10/2013
9.0|Predominant type: trees -pine|06/11/2013
26.6|Predominant Type- (Trees) Pine|06/12/2013
18.9|Predominant Type- (Trees) Pine|06/13/2013
17.3|Predominant Type- (Trees) Pine|06/14/2013
17.6|Predominant type - trees - pine, juniper & cedar|06/17/2013
10.9|Predominant type - trees - pine|06/18/2013
0.6|Not true sample|06/20/2013
8.0|Grains Count/Concentration calculation modified b/c of 22 hour sample (power outage)|06/21/2013
6.1|Predominant type - trees - pine, juniper & cedar|06/24/2013
3.5|Predominant Type- Grass species|06/25/2013
5.8|Predominant type - trees - juniper & cedar|06/26/2013
8.7|Predominant type - trees -juniper & cedar|06/27/2013
7.7|Predominant type - trees -juniper & cedar|06/28/2013
1.6|No predominant types|07/01/2013
9.3|Predominant type -trees-pine- and grass species (Note- there is no pollen report for 7/2-7/3 because of a POWER FAILURE|07/02/2013
12.8|Predominant type - trees - juniper & cedar|07/08/2013
9.9|Predominant type -trees -juniper & cedar|07/09/2013
4.2|Predominant Type- Grass Species|07/10/2013
11.2|Predominant type - trees- pine, & grass species|07/11/2013
2.9|No predominant types|07/12/2013
8.0|Predominant type - grasses|07/15/2013
7.4|Predominant type - trees - juniper & cedar and grass species|07/16/2013
8.0|Predominant Type- Grass species|07/17/2013
10.9|Predominant type - grasses|07/18/2013
8.7|Predominant Type- Grass Species|07/19/2013
6.7|Predominant type - grasses|07/22/2013
7.4|Predominant type - grasses|07/23/2013
13.8|Predominat Types- (Trees) Junipers & Cedars|07/24/2013
7.7|Predominant type - trees - juniper & cedar|07/25/2013
3.8|Predominant Type- Grass Species|07/26/2013
0.0|Large amount of water droplets on pollen collector rod|07/29/2013
0.0|The NC DAQ pollen sampler has a broken motor|07/30/2013
0.0|No pollen report - sampler motor out for repair|07/31/2013
9.3|Predominant type - trees -pine|08/22/2013
103.5|Predominant type - trees - elm|08/23/2013
31.4|Predominant type - trees - elm|08/26/2013
76.9|Predominant Type- (Trees) Elm|08/27/2013
45.2|Predominant Type- (Trees) Elm|08/28/2013
66.3|Predominant type - trees - elm; also ragweed|08/29/2013
17.0|Predominant Type- (Weeds) Ragweed|08/30/2013
23.4|Predominant type - weeds - ragweed|09/03/2013
9.6|Predominant Type- Ragweed|09/04/2013
46.5|Predominant type - weeds- ragweed|09/05/2013
25.3|Predominant Pollen- Ragweed|09/06/2013
14.4|Predominant type - weeds - ragweed|09/09/2013
16.7|Predominant type - weeds - ragweed|09/10/2013
14.4|Predominant Pollen- (Weeds) Ragweed|09/11/2013
15.1|Predominant type - weeds -ragweed|09/12/2013
28.5|Predominant Pollen- (Weeds) Ragweed|09/13/2013
17.6|Predominant Types- (Weeds) Ragweed|09/16/2013
10.9|Predominant type -weeds -ragweed|09/17/2013
7.4|Predominant Type- (Weeds) Ragweed|09/18/2013
20.2|Predominant type - weeds - ragweed|09/19/2013
7.4|Predominant type - weeds - ragweed|09/20/2013
28.5|Predominant type - trees-elm; also ragweed|09/23/2013
29.2|Predominant type - trees - elm; also ragweed|09/24/2013
109.9|Predominant Type- (Trees) Elm|09/25/2013
26.6|Predominant Type- Ragweed|09/26/2013
16.3|Predominant Type- (Weeds) Ragweed|09/27/2013
9.6|Predominant type - weeds - ragweed|09/30/2013
34.9|Predominant type - trees - elm|10/01/2013
17.6|Predominanty Types- (Trees) Elm|10/02/2013
21.2|Predominant type - weeds - ragweed|10/03/2013
30.8|Predominant Type- (Trees) Elm|10/04/2013
14.1|Predominant type - weeds - ragweed|10/07/2013
6.1|Predominant type - weeds -ragweed|10/08/2013
7.4|Predominant Type- Ragweed|10/09/2013
2.9|Predominant type - weeds - ragweed|10/10/2013
0.3||10/11/2013
1.3|Predominant type - grasses|10/14/2013
5.8|Predominant type - weeds - ragweed|10/15/2013
1.0|Predominant type - weeds- ragweed|10/16/2013
0.0||10/17/2013
3.5|Predominant type - trees - pine|10/18/2013
1.9|No specific predominant pollen grain, however, weeds were the predominant type|10/21/2013
13.5|Predominant type - trees - elm|10/22/2013
20.5|Predominant Type- (Trees) Elm|10/23/2013
10.3|Predominant type - trees - pine; also ragweed|10/24/2013
2.9|Predominant type - weeds - ragweed|10/25/2013
16.7|Predominant type - trees - juniper & cedar|10/28/2013
8.0|Predominant type - trees - juniper & cedar|10/29/2013
14.7|Predominant Type- (Trees) Elm|10/30/2013
5.4|Predominant type - trees - elm|10/31/2013
8.0|Predominant type - trees - elm|11/01/2013
3.2|Predominant type - trees|11/04/2013
2.6|Predominant type - trees (Note: no pollen count for 11/5/13 b/c of sampler malfunction)|11/05/2013
1.6|Predominant type - weeds -ragweed|11/07/2013
0.0|No report - sampler inadvertently shut off|11/08/2013
2.9|Predominant type - trees - elm|11/12/2013
2.9|Predominant Type- Trees|11/13/2013
1.3|Predominant type - trees|11/14/2013
3.8|Predominant type - trees|11/15/2013
1.0|No predominant type|11/18/2013
3.2|Predominant type - trees|11/19/2013
0.3|No predominant types|11/20/2013
0.6|No predominant type|11/21/2013
0.0|This is the last pollen report of the season|11/22/2013
49.6|Predominant type - elm, juniper & cedar Estimated count based on 18hrs collection|03/06/2014
19.2|Predominant Pollen- (Trees) Elm|03/07/2014
170.5|Predominant type - elm, juniper & cedar|03/10/2014
169.9|Predominant type - juniper & cedar, elm|03/11/2014
124.7|Predominant Pollen- (Trees) Juniper & Cedar, Elm|03/12/2014
74.7|Predominant type - juniper & cedar, elm, maple|03/13/2014
10.3|Predominant type - elm, juniper & cedar|03/14/2014
74.7|Prdominant type - trees -juniper & cedar|03/17/2014
3.2|Predominant type - juniper & cedar|03/18/2014
1.6|Predominant Pollen- Juniper and Cedar|03/19/2014
12.2|Predominant type - juniper & cedar, elm|03/20/2014
21.5|Predominant Pollen- (Trees) Elm, Juniper and Cedar|03/21/2014
53.2|Predominant type - trees - juniper & cedar|03/24/2014
11.2|Predominant type - trees- juniper & cedar|03/25/2014
7.1|Predominant type -trees -juniper & cedar|03/26/2014
14.7|Predominant type - trees - juniper & cedar, pine, elm|03/27/2014
19.6|Predominant Pollen- (Trees) Pine|03/28/2014
26.3|Predominant type - trees - elm, maple|03/31/2014
8.3|Predominant Pollen- (Trees) Elm|04/01/2014
156.4|Predominant Pollen- (Trees) Oak, Pine|04/02/2014
661.5|Predominant Pollen- (Trees) Pine|04/03/2014
1026.9|Estimated Count|04/04/2014
421.2|Predominant Pollen- (Trees) Oak|04/07/2014
124.4|Oak and Pine|04/08/2014
931.4|Trees-Oak|04/09/2014
583.7|Predominant Pollen- (Trees) Oak|04/10/2014
1777.9|Predominant Pollens- Pine and Oak|04/11/2014
1482.7|Predominant Pollen- Oak and Pine|04/14/2014
818.3|Predominant Pollen- Trees: Oak, Pine estimated count|04/15/2014
727.9|Predominant Pollen- (Trees) Oak and Pine|04/16/2014
448.7|Predominant Pollen- (Trees) Oak, Pine|04/17/2014
641.3|Predominant Pollen-(Trees) Pine and Oak|04/21/2014
629.8|Predominant Pollen (Trees) - Oak and Pine|04/22/2014
1649.0|Predominant Pollen Type- (Trees) Oak, Pine Estimated Count|04/23/2014
870.2|Predominant Pollen- (Trees) Oak, Pine Estimated count|04/24/2014
361.5|Predominant Pollen- (Trees) Oak|04/25/2014
310.6|Predominant Pollen (Trees) Maple, Oak|04/28/2014
115.7|Predominant Pollen- (Trees) Pine, Oak, Maple|04/29/2014
69.6|Predominant Pollen- (Trees) Pine, Mullberry|04/30/2014
83.0|Predominant Pollen- (Trees) - Mulberry, Pine|05/01/2014
259.3|Predominant Pollen- (Trees)- Maple, Oak|05/02/2014
324.4|Predominant Pollen (Trees) - Oak, Birch|05/05/2014
252.9|Predominant Pollen - (Trees) - Oak, Birch|05/06/2014
329.8|Predominant Pollen (Trees) - Birch, Oak|05/07/2014
192.6|Predominant Pollen- (Trees) - Oak, Birch|05/08/2014
131.7|Predominant Pollen- (Trees) Hickory|05/09/2014
65.1|Predominant Pollen- (Trees) - Hickory|05/12/2014
67.6|UPDATED REPORT! Predominant Pollen- (Trees) Hickory|05/13/2014
107.4|Predominant Pollen - (Trees) - Hickory|05/14/2014
140.7|Predominant Pollen - (Trees) - Hickory|05/15/2014
19.2|Predominant Pollen- (Trees) Maple and Hiclory|05/16/2014
40.7|Predominant Pollen - (Trees) - Pine, Hickory|05/19/2014
60.3|Predominant Pollen - (Trees) - Oak and Pine|05/20/2014
53.8|Predominant Pollen - (Trees) - Pine and Hickory|05/21/2014
82.4|Predominant Pollen - (Trees) - Pine, Hickory|05/22/2014
113.5|Predominant Pollen - (Trees) - Pine, Hickory Due to Memorial Day Holiday, next pollen report will be sent 5/27/14|05/23/2014
33.0|Predominant Pollen - (Trees) - Pine and Hickory|05/27/2014
33.3|Predominant Pollen - (Trees) - Pine|05/29/2014
17.3|Predominant Pollen - (Trees) Pine and Hickory|05/30/2014
24.7|Predominant Pollen - Trees - (Pine)|06/02/2014
18.3|Predominant Pollen - (Trees) Pine|06/03/2014
28.5|Predominant Pollen - (Trees) Pine|06/04/2014
30.4|Predominant Pollen - (Trees) Pine|06/05/2014
19.9|Predominant Pollen - (Trees) Pine|06/06/2014
24.0|Predominant Pollen - (Trees) - Pine|06/09/2014
4.8|Predominant Pollen - (Trees) Pine|06/10/2014
12.8|Predominant Pollen - (Weeds) Nettle|06/11/2014
10.9|Predominant Pollen - (Trees) Willow and Pine|06/12/2014
5.1|Predominant Pollen - (Trees) Pine|06/13/2014
11.2|Predominant Pollen - (Weeds) lamb's quarter, nettle|06/16/2014
14.4|Predominant Pollen - Grass|06/17/2014
8.7|Predominant Pollen - (Trees) Pine|06/18/2014
8.7|Predominant Pollen - (Trees) Pine|06/19/2014
7.4|Predominant Pollen - Grass|06/20/2014
5.1|Predominant Pollen - Grass|06/23/2014
8.0|Predominant Pollen - (Weeds) Lamb's quarter|06/24/2014
11.5|Predominant pollen - Grass|06/25/2014
9.3|Predominant Pollen - (Trees) Pine|06/26/2014
6.7|Predominant Pollen - (Weeds) Nettle|06/27/2014
9.0|Predominant Pollen - (Weeds) Ragweed|06/30/2014
10.9|Predominant Pollen - (Trees) Pine|07/01/2014
8.7|Predominant Pollen - (Trees) Pine|07/02/2014
9.3|Predominant Pollen - Grass|07/03/2014
8.0|Predominant Pollen - (Weeds) Lamb's quarter|07/07/2014
6.1|Predominant Pollen - (Trees) Pine|07/08/2014
7.1|Predominant Pollen - (Trees) Pine|07/09/2014
7.1|Predominant Pollen - (Grass)|07/10/2014
8.0|Predominant Pollen - (Weeds) Nettle|07/17/2014
4.5|Predominant Pollen- (Weeds) Ragweed|07/18/2014
2.2|Predominant Pollen - (Weeds) Lamb's quarter|07/21/2014
0.3|Predominant Pollen - (Trees) Pine|07/22/2014
1.6|Predominant Pollen - (trees) Pine|07/23/2014
7.7|Predominant Pollen - (Trees) Pine|07/24/2014
1.0|No predominant pollen today|07/25/2014
12.2|Predominant Pollen - (Trees) Juniper|07/28/2014
6.7|Predominant Pollen - (trees) Pine|07/29/2014
1.3|Predominant Pollen - (trees) Pine|07/31/2014
15.7|Predominant Pollen - (weeds) Ragweed|08/01/2014
1.6|Predominant Pollen - (weeds) Ragweed|08/04/2014
2.9|Predominant Pollen - Grasses|08/05/2014
17.6|Predominant Pollen (Weeds) Nettle|08/06/2014
16.7|Predominant Pollen - (Weeds) Nettle|08/07/2014
14.1|Predominant Pollen - (Weeds) Nettle|08/08/2014
21.8|Predominant Pollen - (Trees) Elm|08/11/2014
23.4|Predominant Pollen (Trees) Elm|08/12/2014
6.4|Predominant Pollen (Weeds) Ragweed|08/13/2014
13.5|Predominant Pollen (Weeds) Nettle|08/14/2014
22.1|Predominant Pollen - (Weeds) Ragweed|08/15/2014
92.3|Predominant Pollen - (Trees) Elm|08/18/2014
33.0|Predominant Pollen - (Trees) Elm|08/19/2014
11.2|Predominant Pollen - (Trees) Elm|08/20/2014
14.4|Predominant Pollen - (Trees) Elm|08/21/2014
19.9|Predominant Pollen - (Weeds) Ragweed|08/22/2014
14.1|Predominant Pollen - (Weeds) Ragweed|08/25/2014
9.3|Predominant Pollen - (Weeds) Ragweed|08/26/2014
9.9|Predominant Pollen - (Weeds) Ragweed|08/27/2014
23.4|Predominant Pollen - (Weeds) Ragweed|08/28/2014
13.8|Predominant Pollen - (Weeds) Ragweed|08/29/2014
221.2|Predominant Pollen - (Trees) Elm|09/02/2014
156.7|Predominant Pollen - (Trees) Elm|09/03/2014
27.2|Predominant Pollen - (Weeds) Ragweed|09/04/2014
30.1|Predominant Pollen - (Trees) Elm|09/05/2014
43.6|Predominant Pollen - (Weeds) Ragweed|09/08/2014
2.2|Predominant Pollen - (Weeds) Nettle|09/09/2014
15.4|Predominate Pollen - (Weeds) Ragweed|09/10/2014
10.9|Predominant Pollen - (Weeds) Ragweed|09/11/2014
18.6|Predominant Pollen - (Weeds) Ragweed|09/12/2014
31.4|Predominant Pollen - (Weeds) Ragweed|09/15/2014
156.7|Predominant Pollen - (Trees) Elm|09/16/2014
64.7|Predominant Pollen - (Trees) Elm|09/17/2014
30.8|Predominant Pollen - (Weeds) Ragweed|09/18/2014
26.0|Predominant Pollen - (Weeds) Ragweed|09/19/2014
86.5|Predominant Pollen - (Trees) Elm|09/22/2014
38.8|Predominant Pollen - (Weeds) Ragweed|09/23/2014
7.4|Predominant Pollen - (Weeds) Ragweed|09/24/2014
0.3|Predominant Pollen - (Weeds) Ragweed|09/25/2014
5.8|Predominant Pollen - (Weeds) Ragweed|09/26/2014
15.1|Predominant Pollen - (Weeds) Ragweed|09/29/2014
1.3|Predominant Pollen - (Trees) Elm|09/30/2014
6.7|Predominant Pollen - (Weeds) Ragweed|10/01/2014
15.7|Predominant Pollen - (Weeds) Ragweed|10/02/2014
32.7|Predominant Pollen - (Weeds) Ragweed|10/03/2014
41.7|Predominant Pollen - (Weeds) Ragweed|10/06/2014
44.6|Predominant Pollen - (Weeds) Ragweed|10/07/2014
36.5|Predominant Pollen - (Weeds) Ragweed|10/08/2014
32.1|Predominant Pollen - (Weed) Ragweed|10/09/2014
36.9|Predominant Pollen - (Weeds) Ragweed Original pollen email did not send properly|10/10/2014
9.0|Predominant Pollen - (Weeds) Ragweed|10/13/2014
12.2|Predominant Pollen - (Weeds) Ragweed|10/14/2014
7.7|Predominant Pollen - (Weeds) Ragweed|10/15/2014
10.9|Predominant Pollen - (Weeds) Ragweed|10/16/2014
15.4|Predominant Pollen - (Trees) Elm|10/17/2014
4.8|Predominant Pollen - (Weeds) Ragweed|10/20/2014
16.0|Predominant Pollen - (Weeds) Ragweed|10/21/2014
3.5|Predominant Pollen - Grass|10/22/2014
9.9|Predominant Pollen - (Weeds) Ragweed|10/23/2014
1.0|No Predominant Pollen Today|10/24/2014
4.8|Predominant Pollen - (Weeds) Ragweed|10/27/2014
1.9|Predominant Pollen - (Weeds) Ragweed|10/28/2014
9.0|Predominant Pollen - (Weeds) Ragweed|10/29/2014
14.1|Predominant Pollen - (Trees) Elm|10/30/2014
5.8|Predominant Pollen - (Trees) Pine|11/03/2014
12.8|Predominant Pollen - (Trees) Elm|11/04/2014
4.2|Predominant Pollen - (Trees) Elm|11/05/2014
3.5|Predominant Pollen - (Trees) Elm|11/06/2014
3.2|Predominant Pollen - (Trees) Elm|11/07/2014
4.8|Predominant Pollen - (Trees) Juniper|11/10/2014
0.6|Predominant Pollen - (Weeds) Ragweed|11/12/2014
0.3|Predominant Pollen - (Trees) Pine|11/13/2014
0.6|Predominant Pollen - (Weeds) Sagebrush|11/14/2014
0.0|No Predominant Pollen Type|11/17/2014
4.2|Predominant Pollen - (Weeds) Ragweed|11/18/2014
0.6|No Predominant Pollen Type|11/19/2014
4.8|Predominant Pollen - (Weeds) Ragweed|11/20/2014
0.6|Predominant Pollen - (Weeds) Ragweed|11/21/2014
0.0|No Predominate Pollen Type|11/24/2014
1.3|No Predominant Pollen Type|11/25/2014
3.8|Predominant Pollen - (Weeds) Ragweed This is the last pollen report of the season|11/26/2014
5.4|Predominant Pollen - (Trees) Cypress, Oak|02/23/2015
0.0|No pollen observed on sample|03/02/2015
23.7|Predominant Pollen - (Trees) Cypress, Elm|03/03/2015
0.6|Predominant Pollen (Trees) - Pine, Elm|03/04/2015
617.9|Predominant Pollen (Trees) - Cypress, Elm|03/05/2015
359.3|Predominant Pollen (Trees): Cedar|03/09/2015
429.2|Predominant Pollen - (Trees) Juniper/Cedar, Elm|03/10/2015
384.9|Predominant Pollen-Trees (Juniper/Cedar, Elm)|03/11/2015
766.0|Predominant Pollen - (Trees) Juniper/Cedar and Elm|03/12/2015
472.1|Predominant Pollen - (Trees) Juniper/Cedar and Elm|03/13/2015
408.0|Predominant Pollen - (Trees) Cedar/Juniper and Elm|03/16/2015
192.0|Predominant Pollen - (Trees) Cedar/Juniper and Elm|03/17/2015
712.5|Predominant Pollen - (Trees) Juniper/Cedar and Maple|03/18/2015
299.0|Predominant Pollen - (Trees) Juniper/Cedar and Poplar|03/19/2015
185.9|Predominant Pollen - (Trees) Juniper/Cedar and Oak|03/23/2015
139.1|Predominant Pollen - (Trees) Juniper/Cedar and Oak|03/24/2015
79.2|Predominant Pollen - (Trees) Cedar/Juniper and Oak|03/25/2015
80.1|Predominant Pollen - (Trees) Juniper/Cedar|03/26/2015
765.7|Predominant Pollen - (Trees) Oak and Pine|03/27/2015
84.0|Predominant Pollen- (Trees) Oak and Pine|03/30/2015
39.4|Predominant Pollen - (Trees) Oak and Juniper/Cedar|03/31/2015
462.5|Predominant Pollen - (Trees) Oak and Birch - Estimated Count|04/01/2015
417.3|Predominant Pollen - (Trees) Oak and Juniper/Cedar|04/02/2015
1071.2|Predominant Pollen - (Trees) Oak and Pine, Estimated Count|04/06/2015
1754.8|Predominant Pollen - (Trees) Oak and Pine|04/07/2015
1077.9|Predominant Pollen - (Tress) Oak and Pine|04/08/2015
3272.1|Predominant Pollen - (Trees) Pine and Oak; Estimated Count|04/09/2015
2010.6|Predominant Pollen - (Trees) Pine and Oak; estimated count|04/10/2015
970.2|Predominant Pollen - (Trees) Oak and Pine; estimated count|04/13/2015
1227.9|Predominant Pollen - (Trees) Oak and Ash|04/14/2015
618.3|Predominant Pollen - (Trees) Oak and Ash, estimated count|04/15/2015
918.3|Predominant Pollen - (Trees) Oak and Pine, estimated count|04/16/2015
163.8|Predominant Pollen - (Trees) Oak and Ash|04/17/2015
77.6|Predominant Pollen - (Trees) Pine and Oak|04/20/2015
161.9|Predominant Pollen - (Trees) Mulberry and Pine|04/21/2015
187.5|Predominant Pollen - (Trees) Oak and Pine|04/22/2015
197.4|Predominant Pollen - (Trees) Pine and Oak|04/23/2015
128.5|Predominant Pollen - (Trees) Oak and Ash|04/24/2015
97.1|Predominant Pollen - (Trees) Oak and Pine|04/27/2015
210.6|Predominant Pollen - (Trees) Oak and Pine|04/28/2015
168.6|Predominant Pollen - (Trees) Pine and Mulberry|04/29/2015
107.1|Predominant Pollen - (Trees) Mulberry and Ash|04/30/2015
52.2|Predominant Pollen - (Trees) Mulberry and Pine|05/01/2015
189.4|Predominant Pollen - (Trees) Oak and Mulberry|05/04/2015
115.4|Predominant Pollen - (Trees) Hickory and Walnut|05/05/2015
201.0|Predominant Pollen - (Trees) Hickory and Walnut|05/06/2015
150.0|Predominant Pollen - (Trees) Hickory and Birch|05/07/2015
155.1|Predominant Pollen - (Trees) Hickory and Birch|05/08/2015
225.6|Predominant Pollen - (Trees) Hickory and Walnut|05/14/2015
128.2|Predominant Pollen - (Trees) Hickory and Oak|05/15/2015
51.6|Predominant Pollen - (Trees) Hickory|05/18/2015
76.0|Predominant Pollen - (Trees) Hickory and Oak|05/19/2015
80.4|Predominant Pollen - (Trees) Hickory and Pine|05/20/2015
80.8|Predominant Pollen - (Grass)|05/21/2015
17.6|Predominant Pollen - (Trees) Pine and Hickory|05/22/2015
19.9|Predominant Pollen - Grass|05/26/2015
22.4|Predominant Pollen - (Trees) Pine and Willow|05/27/2015
14.4|Predominant Pollen - (Trees) Oak and Hickory|05/28/2015
18.9|Predominant Pollen - (Grass)|06/01/2015
24.4|Predominant Pollen - (Grass)|06/02/2015
4.8|Predominant Pollen - (Grass)|06/03/2015
3.2|Predominant Pollen - (Grass)|06/05/2015
8.3|Predominant Pollen - (Grass)|06/08/2015
19.6|Predominant Pollen - (Trees) Pine|06/09/2015
7.4|Predominant Pollen - (Trees) Pine|06/10/2015
19.2|Predominant Pollen - (Weeds) Pigweed and Nettle|06/11/2015
16.3|Predominant Pollen - (Weeds) Pigweed|06/12/2015
9.3|Predominant Pollen - (Grass)|06/16/2015
12.2|Predominant Pollen - (Grass)|06/17/2015
6.4|Predominant Pollen - (Weeds) Pigweed|06/18/2015
5.8|Predominant Pollen - (Grass)|06/19/2015
12.5|Predominant Pollen - (Grasses)|06/23/2015
9.9|Predominant Pollen - (Grasses)|06/24/2015
13.5|Predominant Pollen - (Trees) Pine|06/25/2015
18.9|Predominant Pollen - (Trees) Pine|06/26/2015
15.7|Predominant Pollen - (Grasses)|06/29/2015
10.3|Predominant Pollen - (Grasses)|06/30/2015
19.9|Predominant Pollen - (Trees) Pine|07/01/2015
9.3|Predominant Pollen - (Weeds) Pigweed Next pollen report will be Monday (7/6/15) due to July 4th holiday|07/02/2015
4.5|Predominant Pollen - (Trees) Cypress/Juniper/Cedar|07/06/2015
6.7|Predominant Pollen - (Trees) Pine|07/07/2015
8.7|Predominant Pollen - (Grasses)|07/08/2015
5.8|Predominant Pollen - (Trees) Pine|07/09/2015
1.6|No predominant pollen|07/10/2015
5.1|Predominant Pollen - (Trees) Pine|07/13/2015
3.2|Predominant Pollen - (Trees) Cypress/Juniper/Cedar|07/14/2015
7.7|Predominant Pollen - (Grasses)|07/15/2015
10.3|Predominant Pollen - (Trees) Cypress/Juniper/Cedar|07/16/2015
6.4|Predominant Pollen - Grasses|07/17/2015
4.5|Predominant Pollen - Grasses|07/20/2015
9.9|Predominant Pollen - (Trees) Pine|07/21/2015
16.0|Predominant Pollen - (Weeds) Plantain|07/22/2015
15.1|Predominant Pollen - (Weeds) Ragweed|07/23/2015
7.1|Predominant Pollen - Grasses|07/24/2015
9.0|Predominant Pollen - (Trees) Mulberry|07/27/2015
4.2|Predominant Pollen - (Trees) Mulberry|07/28/2015
14.1|Predominant Pollen - (Weeds) Nettle|07/29/2015
14.4|Predominant Pollen - (Weeds) Ragweed|07/30/2015
8.0|Predominant Pollen - Grasses|07/31/2015
18.6|Predominant Pollen - (Weeds) Nettle|08/03/2015
13.1|Predominant Pollen - Grasses|08/04/2015
8.7|Predominant Pollen - Grasses|08/05/2015
15.7|Predominant Pollen - Grasses|08/06/2015
10.9|Predominant Pollen - Grasses|08/07/2015
15.4|Predominant Pollen - (Weeds) Nettle|08/10/2015
16.3|Predominant Pollen - (Trees) Mulberry|08/11/2015
6.7|Predominant Pollen - (Weeds) Nettle|08/12/2015
16.0|Predominant Pollen - (Weeds) Nettle|08/13/2015
14.7|Predominant Pollen - (Weeds) Nettle|08/14/2015
14.4|Predominant Pollen - (Weeds) Ragweed|08/17/2015
8.7|Predominant Pollen - (Weeds) Nettle|08/18/2015
8.7|Predominant Pollen - (Weeds) Ragweed, Nettle|08/19/2015
9.6|Predominant Pollen - (Weeds) Nettle|08/20/2015
11.2|Predominant Pollen - (Weeds) Ragweed|08/21/2015
23.7|Predominant Pollen - (Weeds) Ragweed, Nettle|08/24/2015
11.2|Predominant Pollen - (Weeds) Ragweed|08/25/2015
23.7|Predominant Pollen - (Weeds) Nettle, Ragweed|08/26/2015
23.7|Predominant Pollen - (Weeds) Ragweed|08/27/2015
18.9|Predominant Pollen - (Weeds) Ragweed|08/28/2015
10.3|Predominant Pollen - (Weeds) Ragweed|08/31/2015
1.6|Predominant Pollen - (Weeds) Ragweed|09/01/2015
27.2|Predominant Pollen - (Weeds) Ragweed|09/02/2015
34.0|Predominant Pollen - (Trees) Elm|09/03/2015
45.8|Predominant Pollen - Elm, Ragweed|09/04/2015
2.9|Predominant Pollen - (Weeds) Ragweed|09/08/2015
32.7|Predominant Pollen - (Weeds) Ragweed|09/09/2015
26.6|Predominant Pollen - (Trees) Elm|09/11/2015
30.1|Predominant Pollen - (Weeds) Ragweed|09/14/2015
25.3|Predominant Pollen - Elm, Ragweed|09/15/2015
32.1|Predominant Pollen - (Weeds) Ragweed|09/16/2015
30.8|Predominant Pollen - (Weeds) Ragweed|09/17/2015
27.9|Predominant Pollen - (Weeds) Ragweed|09/18/2015
173.4|Predominant Pollen - (Trees) Elm|09/21/2015
53.2|Predominant Pollen - (Trees) Elm|09/22/2015
44.6|Predominant Pollen - (Trees) Elm|09/23/2015
20.2|Predominant Pollen - (Weeds) Ragweed|09/24/2015
23.7|Predominant Pollen - (Weeds) Ragweed|09/25/2015
12.5|Predominant Pollen - (Weeds) Ragweed|09/28/2015
6.4|Predominant Pollen - (Weeds) Ragweed|09/29/2015
11.9|Predominant Pollen - (Trees) Elm|09/30/2015
15.7|Predominant Pollen - (Trees) Elm|10/01/2015
1.0|Predominant Pollen - (Weeds) Ragweed|10/02/2015
2.9|Predominant Pollen - (Weeds) Ragweed|10/05/2015
8.7|Predominant Pollen - (Weeds) Ragweed|10/06/2015
8.7|Predominant Pollen - (Weeds) Ragweed|10/07/2015
8.7|Predominant Pollen - (Weeds) Ragweed|10/08/2015
17.0|Predominant Pollen - (Weeds) Ragweed|10/09/2015
2.9|Predominant Pollen - (Weeds) Ragweed|10/12/2015
19.2|Predominant Pollen - (Weeds) Ragweed|10/13/2015
55.4|Predominant Pollen - (Trees) Elm|10/14/2015
15.4|Predominant Pollen - (Trees) Elm|10/15/2015
10.3|Predominant Pollen - (Trees) Elm|10/16/2015
2.6|Predominant Pollen - (Weeds) Ragweed|10/19/2015
5.4|Predominant Pollen - (Trees) Elm|10/20/2015
9.9|Predominant Pollen - (Trees) Elm|10/21/2015
9.3|Predominant Pollen - (Trees) Elm|10/22/2015
6.4|Predominant Pollen - Elm, Ragweed|10/23/2015
3.8|Predominant Pollen - (Weeds) Ragweed|10/26/2015
1.9|Predominant Pollen - (Weeds) Ragweed|10/27/2015
0.6|Predominant Pollen - (Weeds) Ragweed|10/28/2015
1.0|Predominant Pollen - (Trees) Elm|10/29/2015
4.5|Predominant Pollen - (Trees) Elm|10/30/2015
1.0|No predominate type|11/02/2015
0.3|No predominate type|11/03/2015
0.6|No predominate type|11/04/2015
0.0|No predominant type|11/05/2015
0.6|No predominant type|11/06/2015
2.2|Predominant Pollen - (Weeds) Ragweed|11/09/2015
0.0|No Predominant Pollen|11/10/2015
1.9|No Predominant Pollen|11/12/2015
3.5|Predominant Pollen - (Weeds) Ragweed|11/13/2015
1.0|No Predominant Pollen|11/16/2015
0.3|No Predominant Pollen|11/17/2015
3.2|Predominant Pollen - (Weeds) Ragweed|11/18/2015
0.6|No predominant pollen|11/19/2015
1.3|No predominant pollen|11/20/2015
212.8|Predominant Pollen - (Trees) Juniper/Cypress and Elm|03/01/2016
213.8|Predominant Pollen - (Trees) Juniper/Cypress/Cedar and Elm|03/02/2016
33.7|Predominant Pollen - (Trees) Elm and Juniper/Cedar/Cypress|03/03/2016
8.3|Predominant Pollen - (Trees) Juniper/Cedar/Cypress|03/04/2016
